SampleID,ExperimentID,project,sample_name,seaweed_species,day_of_decay,replicate,nucleic_acid,gene
DL13-YR-0707-EP,YR-BlankC-NA-NA-NA-NA-nifH,YR,BlankC,NA,NA,NA,NA,nifH
DL13-YR-0807-EP,YR-MockC-NA-NA-NA-DNA-nifH,YR,MockC,NA,NA,NA,DNA,nifH
DL13-YR-0907-EP,YR-R1F-Shorneri_juvenile-Trial1-Rep2-DNA-nifH,YR,R1F,Shorneri_juvenile,Trial1,Rep2,DNA,nifH
DL13-YR-1107-EP,YR-SF3-Sfluitans-3-Rep1-DNA-nifH,YR,SF3,Sfluitans,3,Rep1,DNA,nifH
DL13-YR-1207-EP,YR-SF6-Sfluitans-6-Rep1-DNA-nifH,YR,SF6,Sfluitans,6,Rep1,DNA,nifH
DL13-YR-1307-EP,YR-SF8-Sfluitans-8-Rep1-DNA-nifH,YR,SF8,Sfluitans,8,Rep1,DNA,nifH
DL13-YR-1407-EP,YR-SF12-Sfluitans-12-Rep1-DNA-nifH,YR,SF12,Sfluitans,12,Rep1,DNA,nifH
DL13-YR-0108-EP,YR-SF20-Sfluitans-20-Rep1-DNA-nifH,YR,SF20,Sfluitans,20,Rep1,DNA,nifH
DL13-YR-0608-EP,YR-0F-Shorneri-0-Rep1-DNA-nifH,YR,0F,Shorneri,0,Rep1,DNA,nifH
DL13-YR-0708-EP,YR-MockC2-NA-NA-NA-DNA-nifH,YR,MockC2,NA,NA,NA,DNA,nifH
DL13-YR-0808-EP,YR-BlankC2-NA-NA-NA-NA-nifH,YR,BlankC2,NA,NA,NA,NA,nifH
DL13-YR-1008-EP,YR-8F-Shorneri-8-Rep1-DNA-nifH,YR,8F,Shorneri,8,Rep1,DNA,nifH
DL13-YR-1408-EP,YR-R1F-Shorneri_juvenile-Trial1-Rep1-DNA-nifH,YR,R1F,Shorneri_juvenile,Trial1,Rep1,DNA,nifH
DL13-YR-1508-EP,YR-R2F-Shorneri_juvenile-Trial2-Rep1-DNA-nifH,YR,R2F,Shorneri_juvenile,Trial2,Rep1,DNA,nifH
DL13-YR-1608-EP,YR-LN0-Laurencia-0-Rep1-DNA-nifH,YR,LN0,Laurencia,0,Rep1,DNA,nifH
DL13-YR-0109-EP,YR-0Cf-Cfragile-0-Rep1-DNA-nifH,YR,0Cf,Cfragile,0,Rep1,DNA,nifH
DL13-YR-0209-EP,YR-2Cf-Cfragile-2-Rep1-DNA-nifH,YR,2Cf,Cfragile,2,Rep1,DNA,nifH
DL13-YR-0309-EP,YR-4Cf-Cfragile-4-Rep1-DNA-nifH,YR,4Cf,Cfragile,4,Rep1,DNA,nifH
DL13-YR-0409-EP,YR-7Cf-Cfragile-7-Rep1-DNA-nifH,YR,7Cf,Cfragile,7,Rep1,DNA,nifH
DL13-YR-0509-EP,YR-10Cf-Cfragile-10-Rep1-DNA-nifH,YR,10Cf,Cfragile,10,Rep1,DNA,nifH
